Cleaned_Text,Any_Hate,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsNationalist,IsSexist,IsHomophobic,IsReligiousHate,IsRadicalism
people would take step back make case anyone except two people situation lump mess take matter hand make kind protest selfish without rational thought investigation guy video heavily emotional hyped want heard get heard press never reasonable discussion kudos smerconish keeping level whole time letting masri make fool dare tore city protest make dishonor entire incident hate way since police brutality become epidemic wish everyone would stop pretending like knew exactly going measurable amount people honestly witnessed incident none u clue way whole issue swung grand jury informed trust majority rule right course action let also thank police officer america actually serve protect even bit jerk pull respect job know someone many people going pout held accountable action people hate police need officer two around emergency,False,False,False,False,False,False,False,False,False,False,False,False,False
law enforcement trained shoot apprehend trained shoot kill thank wilson killing punk bitch,True,True,True,False,False,False,False,False,False,False,False,False,False
dont reckon life matter banner held white cunt kinda patronizing ironically racist could come somethin better white folk give self pride look im nice black people always race actually whole world pussyfootin around fear racist fuckin daft man,True,True,True,False,False,True,False,False,False,False,False,False,False
large number people like police officer called criminal reason police officer fact criminal like police officer testament good work police officer protecting public child family danger hessitate call help call police time people stopped complaining started give police respect hard work dedication often requires put life line serve public,False,False,False,False,False,False,False,False,False,False,False,False,False
arab dude absolutely right shot 6 extra time shoot he attacking would stop attack shoot twice still attacking six time shoot kill opinion,False,False,False,False,False,False,False,False,False,False,False,False,False
people facebook http tie isi terrorist group muslim extremist,True,True,False,False,False,False,True,False,False,False,False,True,False
check tube post black man go epic rant ferguson rioter although message delivered childish emotion one african american get,True,True,False,False,False,False,True,True,False,False,False,False,False
would love see pussy go staten island spit cop would love see happen mike brown strong arm thug people burning ferguson eric garnier nothing wrong choked death protest mafia controlled staten island burning car nothing,True,True,True,False,False,True,True,True,False,False,False,False,False
agree protestor,False,False,False,False,False,False,False,False,False,False,False,False,False
mike brown father made say boooshit,True,True,True,False,False,True,False,False,False,False,False,False,False
guy right point judge speaking ability judge messege racist fuck suck dick like always medium focusing thing matter cnn shit,True,True,True,False,False,True,False,False,False,False,False,False,False
moral story reach cop gun probably gunna get shot white black,False,False,False,False,False,False,False,False,False,False,False,False,False
masri close get isi america,True,True,True,False,False,False,False,False,False,False,False,False,False
know chimpers compassion mud pumping heart,True,True,False,False,False,False,True,True,False,False,False,False,False
believe whatever wan na believe care say bassem masri idiot,True,True,True,False,False,False,False,False,False,False,False,False,False
bassem masri terrorist part isi,True,True,False,False,False,False,True,False,False,False,False,True,False
waist time trying reason police spitting thug trying defend criminal brown losing matter grand jury made decision live,True,True,True,False,True,False,False,False,False,False,False,False,False
wish mr masri dead,True,True,True,False,False,False,False,False,False,False,False,False,False
thus collapse usa two possibility considered whereby one boil dictatorship evil reprisal possibility may new reconstruction people fundamentally conscious responsibility attain government really everything bring effective valuable new start whether actually occur currently extremely questionable presently totalitarian manner everything directed towards interest economic military political cultural well towards strict fundamentalist based enormous lie devious misanthropic criminal felonious machination every imaginable regard also mean population usa spied upon secret service even severely within neighbourhood forth every possible manner restricted freedom addition violence emerges form openly,False,False,False,False,False,False,False,False,False,False,False,False,False
actually shout fire crowded theater christopher hitchens demonstrated talk free speech look interviewee correct cop serve public way around consistent serving public police department represent public race ethnicity rank hire bunch big tough black guy police department fewer black shot death puny white guy felt humiliated got bitch slapped teenager,True,True,True,False,False,True,False,False,False,False,False,False,False
think kill,True,True,True,False,False,False,False,False,False,False,False,False,False
legalize marijuana problem stop,False,False,False,False,False,False,False,False,False,False,False,False,False
1 word provocateur,False,False,False,False,False,False,False,False,False,False,False,False,False
lol happens greedy rich slime keep mass uneducated ignorant deal stupid created trying reason irrational exercise futility get popcorn ready bc boil fall talk fall walking,True,True,True,False,False,False,False,False,False,False,False,False,False
legal system inherently racist cnn reporter,True,True,True,False,False,False,False,False,False,False,False,False,False
look ready cut head must isi sympathizer going say maybe 5 care issue hand 95 want go loot store fuck shit,True,True,False,False,False,False,True,False,False,False,False,True,False
lol shoot apprehend idiot,True,True,True,False,False,False,False,False,False,False,False,False,False
case overshadowed cop murdered kid fake sword saratoga spring utah much outraged mike brown case murder happened utah deal cop provided non lethal weapon shooting utah unwarranted ran know ran lunged police fake sword taken opportunity immediate action right ran shot 6 time back know large group cop corrupt murderer nothing new though ran police many time teen cop pursue find hiding put 6 bullet back ending life said paper saratoga spring 5 black population would say 5,False,False,False,False,False,False,False,False,False,False,False,False,False
man zionist jew look ypu see jewnesss face cnn employ zionist sympathiser racist wolf blitzer emplpyeee,True,True,False,False,False,False,True,True,False,False,False,False,False
blood street worried word getting tired way mainstream medium treating u like idiot follow condescending irrelevant distracting disparaging narrative step cnn,False,False,False,False,False,False,False,False,False,False,False,False,False
stop criminal wont get shot simple,True,True,True,False,True,False,False,False,False,False,False,False,False
like turtle,False,False,False,False,False,False,False,False,False,False,False,False,False
massri need education,True,True,True,False,False,False,False,False,False,False,False,False,False
cnn mother fucker fuck peace shit,True,True,True,False,False,True,False,False,False,False,False,False,False
statement think ali sheep butt fucker masri take ak go fight syria,True,True,True,False,True,True,True,True,False,False,False,False,False
hahahahaha guy ed bassmaster character always teste ed bassmaster character like guy,True,True,True,False,False,False,False,False,False,False,False,False,False
childish cop sleep night,False,False,False,False,False,False,False,False,False,False,False,False,False
completely idiot minutrs fame,True,True,True,False,False,False,False,False,False,False,False,False,False
hope god guy still falling ol banana tailpipe bullshit news giving,True,True,True,False,False,False,False,False,False,False,False,False,False
cnn bullcrap,True,True,True,False,False,False,False,False,False,False,False,False,False
alright entire case crap people saying white people racist calling bad name racist would like call u extensive investigation prove boy death self defense however defending whole kkk thing defending helpless citizen ferguson boy died care white black care people ferguson treating town really cared incident would hold memorial express helping get justice really matter boy dead something done grand jury decided,False,False,False,False,False,False,False,False,False,False,False,False,False
guy know happened hand,False,False,False,False,False,False,False,False,False,False,False,False,False
ayy cnn lookin like pussy,True,True,True,False,False,True,False,False,False,False,False,False,False
smirconnish guy world guy masri idiot,True,True,True,False,False,False,False,False,False,False,False,False,False
masri total idiot know evidence come conclusion instead clue dont attack cop try take gun rush finally get car wont get shot duhhh would masri take brown icecream beating ground defend btw brown momma gramma violently assaulted people selling memory brown put two people hospital stole money trashed shop probably charged know sort mentality brown raised thug wan na caused death,True,True,True,False,False,False,True,True,False,False,False,False,False
take break bassem making much sense debate,False,False,False,False,False,False,False,False,False,False,False,False,False
let reverse roll black racist cop rich white community ca prove racist white man get pissed intolerable condition unload several clip high caliber ammo point blank range audacity questioning authority american need full alert elitist agenda set president questioning authority elitist problem prison culture cia drug cartel exporting job importing cheap labor elitist get bailed support corrupt system turn around c get past race issue govt incites divide working class hardly call working class govt put everyone work homeless class let u get western history role big money play clusterfuck designed destroy nation destroyed point get back ask,True,True,False,False,False,False,True,True,False,False,False,False,False
moron talking peaceful burning nation flag idiot even though suppose old knowledge baby making noise,True,True,True,False,False,False,False,False,False,False,False,False,False
