text,author,date,likes,hate_speech,hate_probability,hate_level
"Me vibre el alma, me baila el corazón ❤",@serranakrycer8957,2024-10-27 06:53:36+00:00,0,0,0.4913865496580291,Bajo
Sus como la po**a y er coñ**a toooooooos😂,@lauraabellan8785,2024-10-27 10:42:45+00:00,0,0,0.4816621498581949,Bajo
Cada tema que hacen la parten !!! ❤🎉grandes !!!!!,@jordigibertluis2989,2024-11-02 07:53:54+00:00,0,0,0.4515369315809122,Bajo
Lo mejor el Dollar la verdad ♥️,@elenamunoz3987,2024-10-31 19:29:00+00:00,0,0,0.4515369315809122,Bajo
Lo lleva en la sangre en las venas ❤,@anitadinamita411,2024-10-29 12:35:33+00:00,1,0,0.4515369315809122,Bajo
La revolución siempre devora a sus hijos,@Juholqui,2024-10-29 20:20:15+00:00,1,0,0.4515369315809122,Bajo
"Aber si llega la botella , con corcha , Xapon
Sultana , sabes quién
Sultalo , melón , 
La sábana...",@jaimecalvoarroyo8173,2024-10-26 21:38:16+00:00,0,0,0.4515369315809122,Bajo
Alicante en la casa,@pablocanovasalamo9780,2024-10-29 14:11:28+00:00,0,0,0.4515369315809122,Bajo
"hace unos dias me dieron la insignia de : eres del 0,5% que mas escucha ayax y prok..😅🤪🤪🤪 BUTALES LOS HERMANOH! Tan como vosotro' que ya ni me reconozco'❤🖤#MiEnfermedadSeLlamaRAP",@marcgarc47,2024-11-01 11:56:52+00:00,0,0,0.44405249658569756,Bajo
Yo estuve allí ❤,@EsmeraldaNaranjo-z3s,2024-11-06 11:50:03+00:00,2,0,0.4431438284378192,Bajo
Vamooss yaa!!!! ❤❤❤❤ MAQUINAS!! ME ENCANTA😊😍 ESTABA DESEANDO QUE LA SACARAIS YA😂,@noemiabanadespinilla2621,2024-10-29 08:38:02+00:00,3,0,0.4420933830413068,Bajo
"Como me gusta ver y sentir que el panorama está en buenas manos!! Es una pasada el hip hop mezclarlo de esta manera, que locura, viva la humanidad vivan los gitanos🩵🩵🩵🩵🙌🏻🙌🏻🙌🏻",@Dichter28053,2024-10-28 19:37:04+00:00,0,0,0.44032853495624497,Bajo
Se os ha ido la pinza? La pata hasta el fondo chavales......que os sea leve,@DavidMorales-o3c6e,2024-11-12 06:59:15+00:00,0,0,0.4384036764528868,Bajo
Ojalá hubiera salido en verano la verdad hubiera sido el hit del verano alomejor soy el único que lo pienso pero siento que hubiera sido así,@Bryan_18br,2024-10-28 17:23:33+00:00,2,0,0.41948589670640263,Bajo
"La base se parece algun temon q teneis viejo yaa, muy gooood🔥🔥🔥😳❤️",@ikersantos3730,2024-11-03 22:43:51+00:00,0,0,0.4095655565466746,Bajo
"Se han puesto el panorama en la palma de su mano, malditos flows interplanetarios 🔥❤️😎",@chemamaldonado7952,2024-11-05 05:55:04+00:00,0,0,0.4095655565466746,Bajo
Ese..  A fuego!!.. es la voz de daddy yankee😮,@macarenasoto2452,2024-11-01 01:23:02+00:00,0,0,0.4095655565466746,Bajo
DOnde quedo el rap combativo?....,@yinceg,2024-10-28 14:11:40+00:00,3,0,0.4083860217181954,Bajo
Noooo es demasiado rap y tumbao,@jeisonazofeifa479,2024-10-30 22:54:13+00:00,0,0,0.4083860217181954,Bajo
Que pedazosss de idolosss locoooooooooooooo terrible sonido salson sansón loco se re volaronnnnn grandeeee la triadaaaa sorprendiendo como siempre tirando magia grandesss idolosss,@Waiirer,2024-10-27 17:23:18+00:00,0,0,0.3991996894618367,Bajo
"No matter how many times you work together, you consistently outperform yourselves, and it even seems simple (for them). I can't stop listening to it. You are a generation of gladiators, therefore never stop working together.",@TanguDisen,2024-11-02 08:26:27+00:00,3,0,0.3986308069737703,Bajo
"I adored it, and I am eagerly awaiting the album's release!",@AdisroWomr,2024-10-31 14:08:47+00:00,0,0,0.3964272010502264,Bajo
Minuto 0:28 .. jajajaj sobados en el tren😂😂,@pROGker,2024-10-28 13:16:41+00:00,3,0,0.35411493376986225,Bajo
Alguien 2016?,@alebuiza4976,2024-11-01 14:31:14+00:00,0,0,0.3500364227091882,Bajo
"Le he subido al volumen 33 veces ya, pero está a tope 💃🏻🕺🏻🕺🏻💃🏻💃🏻🕺🏻",@estefaniapagangarcia8859,2024-10-29 15:14:33+00:00,0,0,0.33386686487786604,Bajo
Menuda cara de Yonkis 😂😂😂,@JoseHernández-b7m,2024-11-11 14:49:38+00:00,3,0,0.3248976199323941,Bajo
"Cada vez más radioformula, cada vez más postín, vendidos .",@marcoslorenzo9296,2024-11-12 05:24:51+00:00,0,0,0.3248976199323941,Bajo
temazo loco,@bonviatgemusic247,2024-11-11 22:09:07+00:00,0,0,0.3248976199323941,Bajo
Desde México papi 🇲🇽 ❤,@RebeldeNatashaSalt,2024-11-08 14:19:47+00:00,1,0,0.3248976199323941,Bajo
Todo mi apoyo para los gemelos,@Rebelion422,2024-11-08 14:31:47+00:00,8,0,0.3248976199323941,Bajo
Muy bueno 💪💪,@Buen_obrero,2024-11-07 03:47:44+00:00,0,0,0.3248976199323941,Bajo
Maquinas,@ScerzyDodge,2024-11-11 10:02:04+00:00,0,0,0.3248976199323941,Bajo
Soy de Mx he escuchado esto y he quedado loco,@4nomalyx,2024-11-08 23:45:42+00:00,2,0,0.3248976199323941,Bajo
Ayax y prok rompen los beats estos tipos salsa,@briancaceres351,2024-11-08 23:01:55+00:00,1,0,0.3248976199323941,Bajo
Grandes esos gemelos,@Josejose-kf1ii,2024-11-10 14:09:23+00:00,1,0,0.3248976199323941,Bajo
🤨,@estebancanteros1175,2024-11-11 10:27:17+00:00,0,0,0.3248976199323941,Bajo
tio buenoooooooooooooooooo,@xabikinki7918,2024-11-01 21:54:15+00:00,0,0,0.3248976199323941,Bajo
❤ excelente Rola,@lizbethsaucedoeleyzeta9101,2024-11-01 15:11:37+00:00,0,0,0.3248976199323941,Bajo
😊❤,@jyotipoudyal7520,2024-11-02 04:52:44+00:00,0,0,0.3248976199323941,Bajo
Cigano até morrer ❤🩸,@isaacsoaresvieira1219,2024-11-01 23:10:54+00:00,1,0,0.3248976199323941,Bajo
Temazo👏🏽👏🏽👏🏽 grabado en Alicante cita 🫶🏽,@Keith_Np,2024-11-03 17:10:10+00:00,1,0,0.3248976199323941,Bajo
Mirá de gitano de un moro y dos pallos jajaja,@Hatertop1,2024-11-03 14:35:57+00:00,8,0,0.3248976199323941,Bajo
Lo de estos 3 cuando se juntan no tiene sentido siempre sacan palo,@Sergio_7799,2024-11-03 09:47:04+00:00,1,0,0.3248976199323941,Bajo
"""dios mio, nunca seras de los mioo"" 🔥🔥🔥🔥",@Vnowar,2024-11-03 04:22:47+00:00,0,0,0.3248976199323941,Bajo
"Si son reales canten con reales... 
 😂 Jajaja",@MiguelToris-dt5ws,2024-11-03 17:31:33+00:00,0,0,0.3248976199323941,Bajo
"Cosquillitas para mis oídos , que grandes !!!👏",@oscarmartinpaez35,2024-11-03 20:48:57+00:00,0,0,0.3248976199323941,Bajo
💎,@Aberamentho-C.R.A-musica,2024-11-04 15:05:57+00:00,1,0,0.3248976199323941,Bajo
Volveis a ser loq erais,@carlosleon1270,2024-11-07 17:41:56+00:00,4,0,0.3248976199323941,Bajo
Pocas visualizaciones para el nivelazo del tema,@Lobito99999,2024-11-06 21:18:04+00:00,3,0,0.3248976199323941,Bajo
Temazoooo❤😊,@GabrielSoleimani,2024-11-06 01:11:35+00:00,0,0,0.3248976199323941,Bajo
540❤,@sxrra2,2024-11-05 00:47:55+00:00,0,0,0.3248976199323941,Bajo
menudos tres elementos como un tequila+limon+sal,@AngelGomez-oc2ti,2024-11-04 19:31:19+00:00,0,0,0.3248976199323941,Bajo
"Mucha mirada de gitano pero no han rodao en las milviviendas, se van a los barrios pijos saben poco los yonkis estos 😂",@Josejose-kf1ii,2024-11-09 22:37:29+00:00,12,0,0.3248976199323941,Bajo
viva alicante coño,@anita_base,2024-10-30 23:38:55+00:00,1,0,0.3248976199323941,Bajo
Sendo junte. Puro flow❤,@contogonisima,2024-10-31 01:41:23+00:00,0,0,0.3248976199323941,Bajo
BRUTAAAAAL muy letal el tema,@migens13,2024-10-31 03:14:17+00:00,0,0,0.3248976199323941,Bajo
Los de Grana Mandan🔝,@Anubis18198,2024-10-31 06:42:57+00:00,1,0,0.3248976199323941,Bajo
App Mulata,@Ronaldolb97,2024-10-30 20:59:13+00:00,0,0,0.3248976199323941,Bajo
🔥🔥🔥🔥🔥,@manuelcabrera9679,2024-10-30 15:17:45+00:00,0,0,0.3248976199323941,Bajo
🔥🔥🔥🔥🔥🔥,@IsmaelRapyMiguelG,2024-10-30 15:26:17+00:00,0,0,0.3248976199323941,Bajo
Pufff temon,@Jegaba,2024-10-30 21:51:12+00:00,0,0,0.3248976199323941,Bajo
MASSIVE HERMANOS🥇🥇🥇🥇🥇🎇✨️🏁,@bicyclerentalfuengirola,2024-10-31 15:32:04+00:00,0,0,0.3248976199323941,Bajo
Ole los chavales ❤🎉😂😅 Gitanazos,@TheDevil-u4i,2024-10-31 06:32:48+00:00,2,0,0.3248976199323941,Bajo
Muyyy justeta brotherss..,@lluis188,2024-10-31 17:17:39+00:00,0,0,0.3248976199323941,Bajo
meo korte ql asesino 👺🔪,@lak.l.e.s6901,2024-10-31 21:15:41+00:00,0,0,0.3248976199323941,Bajo
Pedazo de plano secuencia que se han marcado estos chavales 😮,@alejandroarmascamejo4511,2024-10-31 18:31:31+00:00,1,0,0.3248976199323941,Bajo
"no puedo parar de escucharlo , ♥",@Perritati,2024-10-31 22:42:17+00:00,0,0,0.3248976199323941,Bajo
Alguien 2024?😈😈,@Ichiii06,2024-11-01 05:23:26+00:00,0,0,0.3248976199323941,Bajo
❤😊,@mariacristinasampedrogomez6362,2024-10-29 04:30:13+00:00,0,0,0.3248976199323941,Bajo
❤❤❤❤,@guadalupefonseca8932,2024-10-29 08:19:07+00:00,0,0,0.3248976199323941,Bajo
dloookooosssssssssssssssssssss,@alancalzadilla87,2024-10-29 10:44:46+00:00,0,0,0.3248976199323941,Bajo
Siempre unos chulos ⚓🦈💪,@alienpirata,2024-10-29 12:18:03+00:00,1,0,0.3248976199323941,Bajo
"Tremendo, el dollar se sale hermano",@yuukikozume4781,2024-10-30 10:46:39+00:00,0,0,0.3248976199323941,Bajo
❤no puedo dejar de escucharla ❤️ engancha el tema 👏👏👏👏y ese ritmo ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,@beatrizcanoexposito,2024-10-30 10:18:13+00:00,1,0,0.3248976199323941,Bajo
"Brutal hermano .
Te lo dije en su día ,tienes talento no te distraigas que lo vas a lograr 💪💪💪",@Fenixpower11,2024-10-29 23:56:39+00:00,0,0,0.3248976199323941,Bajo
Buenísima gente 🎉🎉,@Keep_busy,2024-10-29 21:43:09+00:00,0,0,0.3248976199323941,Bajo
Salgo en el vídeo Jajaajja q polla el rockandrolla 🔥🔥,@cloudyart5258,2024-10-28 12:20:44+00:00,0,0,0.3248976199323941,Bajo
"Eu, tu, a tí . vosotros Dollar,Ayax,Proki delante y detras detras escena ❤",@upamekano975,2024-10-28 04:38:23+00:00,0,0,0.3248976199323941,Bajo
Aqui uno que estuvo en el videoclip desde el rocanrola,@nukkex,2024-10-27 21:52:24+00:00,0,0,0.3248976199323941,Bajo
""" Tu nunca seras de los mios """,@Maurocartoonshow,2024-10-28 02:43:40+00:00,0,0,0.3248976199323941,Bajo
´´Si te contara..``,@IagoJackieRb26,2024-10-27 19:35:02+00:00,0,0,0.3248976199323941,Bajo
Alicantino borracho y fino,@matydel0136,2024-10-28 14:56:01+00:00,1,0,0.3248976199323941,Bajo
Diooos que temazo,@zeuslannister3456,2024-10-28 14:35:21+00:00,0,0,0.3248976199323941,Bajo
"idolos, temazo",@TheSantiagomonti,2024-10-28 18:38:44+00:00,0,0,0.3248976199323941,Bajo
Temazo !!! Grandes!!! Cuánto flow !! 💪💪,@davidortizsainz8241,2024-10-27 15:30:49+00:00,1,0,0.3248976199323941,Bajo
"mi no gustar, to easy! sry :)",@ritmodevidadtb9057,2024-10-27 17:15:07+00:00,0,0,0.3248976199323941,Bajo
Estos 3 juntos son una puta explocion ompare pfffff jajajjaa  por muchas mas 🙌🙏💪🔥,@foxdelaim3946,2024-10-27 17:44:58+00:00,2,0,0.3248976199323941,Bajo
"tremenda, de locos 💯💯💥💥💥",@Fco.JavierDorado,2024-10-27 15:30:31+00:00,0,0,0.3248976199323941,Bajo
Flow locoplaya,@miguelcintas,2024-10-27 11:52:35+00:00,1,0,0.3248976199323941,Bajo
Orgulloso de participar en el videoclip.Gracias ROCANROLA!,@PabloMasjuan,2024-10-27 11:21:12+00:00,0,0,0.3248976199323941,Bajo
Puedo decir que participe en el videoclip rocanrola,@pantherdu3949,2024-10-27 14:19:07+00:00,0,0,0.3248976199323941,Bajo
